symbol	MCF12A.Z-score	HCC1143.Z-score
ARID1A	-2.0241221165	-3.108510593
ATM	-8.58779625483333	-7.06882979166667
ATR	-5.37106295083333	-14.972814931
C9ORF96	-3.2562832675	-4.05620778166667
CREB1	-2.20536450125	-2.6675320105
DCK	-2.94146327991667	-2.07512165625
EFNB3	-2.5325684955	-3.55822439533333
ENDOV	-2.92576050041667	-6.89018777208333
FANCE	-2.96146014341667	-5.65321964391667
FGFR1OP	-6.22828662525	-3.29377994975
FLI1	-10.6676678525	-2.42690213158333
GPC3	-3.90644254141667	-11.9460353390833
HOXC11	-4.33163633991667	-2.15719157466667
IDH1	-3.67586877116667	-2.31838262975
KUB3	-5.95383452275	-2.62975877158333
MAPKAPK3	-6.41801248433333	-3.52232465741667
MSH4	-2.28462525116667	-4.71699581158333
PALB2	-4.47660043266667	-2.84028276316667
PLK3	-2.46675422533333	-2.65112049783333
PMS2	-8.27801321775	-3.09586119941667
POLD1	-16.2476502206667	-6.29203291741667
PRKCD	-2.02899790541667	-2.1977943075
RAD18	-3.64037072483333	-2.79266246133333
RAD9A	-2.75966107841667	-2.89660331491667
RBM15	-5.22522577783333	-3.37970137766667
SLX4	-2.65916830275	-2.99363782583333
SMAD4	-5.38776330358333	-3.12882249575
STK19	-6.29203291741667	-4.15542288491667
STYK1	-2.34662423841667	-4.47660043266667
TBL1XR1	-14.0417549365833	-2.0241221165
